velocity,mean_velocity,std_velocity,max_velocity,min_velocity
-0.75793767,-0.73032343,0.116872676,-0.5286854,-1.0219934
-0.7193928,-0.7310833,0.117172904,-0.5286854,-1.0219934
-0.69157183,-0.7307901,0.11722014,-0.5286854,-1.0219934
-0.59899306,-0.731312,0.1171024,-0.5286854,-1.0219934
-0.5719219,-0.73485065,0.11571558,-0.5286854,-1.0219934
-0.5806721,-0.7405541,0.114566684,-0.5286854,-1.0219934
-0.69772017,-0.7452861,0.112736925,-0.5286854,-1.0219934
-0.7979593,-0.74599403,0.112546995,-0.5286854,-1.0219934
-0.9523154,-0.7417369,0.11450948,-0.5286854,-1.0219934
-1.0219934,-0.734157,0.11285116,-0.5286854,-1.0219934
-0.9812557,-0.72635615,0.10595492,-0.5286854,-0.9812557
-0.897652,-0.72099584,0.099507175,-0.5286854,-0.90412426
-0.71552074,-0.7197567,0.09766838,-0.5286854,-0.90412426
-0.7007944,-0.7219628,0.098787084,-0.5286854,-0.90412426
-0.7153923,-0.72374135,0.09918974,-0.5286854,-0.90412426
-0.77450967,-0.7232957,0.09927632,-0.5286854,-0.90412426
-0.8273684,-0.7217743,0.09906245,-0.5286854,-0.90412426
-0.78959745,-0.7205299,0.09811448,-0.5286854,-0.90412426
-0.7133346,-0.72200966,0.09969024,-0.5286854,-0.90412426
-0.59853065,-0.7243437,0.100819536,-0.5286854,-0.90412426
-0.5744384,-0.7264513,0.09925679,-0.5286854,-0.90412426
-0.6293405,-0.72706544,0.09840549,-0.5286854,-0.90412426
-0.71103495,-0.7267156,0.09878267,-0.5286854,-0.90412426
-0.80965376,-0.7259342,0.09905777,-0.5286854,-0.90412426
-0.90412426,-0.72517717,0.09855841,-0.5286854,-0.90412426
-0.8711908,-0.72233224,0.09535281,-0.5286854,-0.8711908
-0.79111576,-0.7187096,0.093041316,-0.5286854,-0.86358386
-0.6820378,-0.7157975,0.09300808,-0.5286854,-0.86358386
-0.57431996,-0.71624017,0.092898965,-0.5286854,-0.86358386
-0.5286854,-0.71957403,0.090711355,-0.5286854,-0.86358386
-0.56659156,-0.72518533,0.087345004,-0.563906,-0.86358386
-0.6891181,-0.72957504,0.084740736,-0.563906,-0.86358386
-0.78249985,-0.7287983,0.085284255,-0.563906,-0.86358386
-0.78314817,-0.72451234,0.087824635,-0.563906,-0.86358386
-0.7782411,-0.71907884,0.092318036,-0.5114702,-0.86358386
-0.71856165,-0.71463346,0.09468324,-0.5114702,-0.86358386
